"","city","data","total"
"1","Henderson",15,320189
"2","Las Vegas",68,2104198
"3","Signal Hill",1,11421
"4","Houston",105,5464251
"5","Smyrna",3,56666
"6","Nashville",19,1081903
"7","Marietta",9,60867
"8","Escondido",6,151625
"9","Davis",2,76997
"10","Shreveport",16,280062
"11","Oxon Hill",2,18080
"12","Lufkin",3,44867
"13","Clearwater",8,116946
"14","Springfield",27,623401
"15","Lakewood",18,157935
"16","Oak Creek",1,36325
"17","Buena Park",1,81788
"18","Washington",37,5379184
"19","Martelle",1,250
"20","West Melbourne",2,24259
"21","Miami Shores",1,10365
"22","Normal",1,54469
"23","Coconut Creek",2,61248
"24","Bronx",20,1418207
"25","Atlanta",31,5449398
"26","Missoula",6,92895
"27","Tonopah",1,2009
"28","Elkhart",7,147567
"29","Honolulu",16,820987
"30","Elmira",3,62989
"31","Greensboro",6,343090
"32","Milwaukee",27,1365787
"33","Nampa",5,184428
"34","Wasilla",8,10838
"35","Sanford",4,61448
"36","Fremont",8,241110
"37","Crescent City",3,16849
"38","Redondo Beach",4,66749
"39","West Richland",2,15075
"40","Grantsville",2,12064
"41","Rutland",2,18131
"42","Washington",3,32163
"43","College Park",2,500617
"44","Provo",2,20303
"45","Payson",12,205603
"46","Amarillo",4,37796
"47","Butler",1,7783
"48","Milwaukee",10,93131
"49","Guadalupe",1,9042
"50","Florence",8,141464
"51","Chanute",2,81360
"52","Amarillo",1,65380
"53","Thornton",6,55417
"54","Somerville",43,5649300
"55","Pflugerville",2,57942
"56","Highland",3,31324
"57","Marietta",31,1066967
"58","Philadelphia",1,1633
"59","Beckley",1,33767
"60","Wheat Ridge",77,2049293
"61","Milwaukee",8,346789
"62","Memphis",3,19400
"63","Chapin",2,823
"64","Galesburg",1,652
"65","San Antonio",2,35753
"66","Victorville",2,18057
"67","Castaic",3,79348
"68","Honolulu",2,29992
"69","Juniata",6,264357
"70","Grantsboro",2,60976
"71","El Mirage",41,2106068
"72","North Aurora",44,579295
"73","Tustin",2,60513
"74","Seguin",1,19920
"75","Lafayette",5,116834
"76","Spring",2,68079
"77","Baltimore",29,3789215
"78","Bakersfield",6,905152
"79","La Habra",4,84048
"80","Cullman",2,51544
"81","Coeur d'Alene",3,15526
"82","Rockville",4,110937
"83","Seattle",4,12754
"84","Hartford",2,4468
"85","Joplin",3,16299
"86","Glendora",1,8538
"87","Blackfoot",4,22348
"88","Nashville",2,35913
"89","Centennial",18,2107852
"90","Yulee",6,12253
"91","Woodville",1,798
"92","Celina",3,28710
"93","Wetumpka",4,16460
"94","Las Vegas",9,389280
"95","Dolton",3,72396
"96","Calumet City",39,3220118
"97","Riverside",4,18232
"98","Cottonwood",2,22344
"99","San Antonio",24,1098526
"100","Gobles",7,442289
"101","Atlanta",9,190972
"102","Wasco",5,285362
"103","Crowley",11,482111
"104","Boise",1,9369
"105","Dothan",52,888486
"106","San Diego",2,71484
"107","Philadelphia",10,276295
"108","Boerne",5,269418
"109","Duncan",1,1533
"110","Salt Lake City",5,67985
"111","Harrisburg",9,94763
"112","Salinas",3,39437
"113","Davenport",59,761195
"114","Toledo",22,843386
"115","Cairo",9,346921
"116","Houston",2,3642
"117","Tucson",1,1623
"118","Daphne",87,8604203
"119","Savannah",22,2559903
"120","Canton",3,9007
"121","Las Vegas",5,170876
"122","Appalachia",8,111269
"123","Gaithersburg",1,5847
"124","Nampa",8,47059
"125","Roswell",19,2908063
"126","Essex",4,88414
"127","Houston",1,2335
"128","Albuquerque",2,414
"129","Baltimore",4,33992
"130","El Paso",5,182701
"131","Pensacola",2,119666
"132","North East",1,18105
"133","Waterflow",15,342464
"134","Chicago",1,3929
"135","Brooklyn",2,2725
"136","Presque Isle",2,1804
"137","Medford",6,28976
"138","Santa Fe",1,18544
"139","Houston",2,77964
"140","Carterville",5,123420
"141","Danville",2,10184
"142","San Antonio",54,1636715
"143","Tampa",1,3040
"144","Newton",3,215243
"145","Olivia",1,7458
"146","Salemburg",9,63245
"147","Douglasville",23,2074775
"148","Spartanburg",13,92777
